configuration,fold,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,mcc,kappa,train_accuracy,train_balanced_accuracy,fit_seconds,predict_seconds,recall_Normal,precision_Normal,recall_Reconnaissance,precision_Reconnaissance,recall_Backdoor,precision_Backdoor,recall_DoS,precision_DoS,recall_Exploits,precision_Exploits,recall_Analysis,precision_Analysis,recall_Fuzzers,precision_Fuzzers,recall_Worms,precision_Worms,recall_Shellcode,precision_Shellcode,recall_Generic,precision_Generic
tree + SMOTE,1,0.7595984683845597,0.6244947429733423,0.5263095127076408,0.781908870181289,0.5153229298174902,0.6244947429733423,0.7089771872891396,0.7004626078580826,0.7795,0.7146042917980234,11.012465492000047,0.02419487699989986,0.7628673835125448,0.9741852801171732,0.7521448999046711,0.883538633818589,0.2342857142857143,0.10846560846560846,0.7259380097879282,0.3480641376613219,0.5194610778443114,0.8329332693230916,0.22388059701492538,0.1541095890410959,0.786028602860286,0.4903912148249828,0.38461538461538464,0.07936507936507936,0.8761061946902655,0.28448275862068967,0.9796195652173914,0.9976937269372693
tree + SMOTE,2,0.7676187519403912,0.664292628611794,0.5425751172686645,0.7872886306255654,0.5251656630008532,0.664292628611794,0.7187799817601835,0.710252653631726,0.778,0.7038132735976791,10.405802547000349,0.025941820999833,0.7714695340501793,0.9783636363636363,0.8074356530028599,0.8279569892473119,0.26857142857142857,0.11989795918367346,0.7536704730831973,0.35883495145631067,0.5209580838323353,0.8463035019455253,0.15422885572139303,0.18674698795180722,0.7981298129812981,0.5027720027720027,0.7692307692307693,0.16129032258064516,0.8230088495575221,0.2727272727272727,0.9762228260869565,0.9967630057803468
tree + SMOTE,3,0.7623926316878816,0.6576978457588594,0.5356930610709991,0.7835918776144766,0.522743424038478,0.6576978457588594,0.7128313097418479,0.7040649238231632,0.7692,0.715325261415001,10.191715830000248,0.020123075000810786,0.7644444444444445,0.9767356658728705,0.8055290753098189,0.8195926285160039,0.26285714285714284,0.10574712643678161,0.7194127243066885,0.34697088906372936,0.5163222521713088,0.8581383773021404,0.195,0.23780487804878048,0.7921935129191864,0.4924812030075188,0.6923076923076923,0.10588235294117647,0.8508771929824561,0.28869047619047616,0.9780344202898551,0.9953906430053008
tree + SMOTE,4,0.7710338404222291,0.6585054675988576,0.5541560447381568,0.7907398245085594,0.5348163493558423,0.6585054675988576,0.7218637071540261,0.7140224960388875,0.7763,0.6483110224657589,11.086636553999597,0.03953005099992879,0.7678853046594982,0.9720508166969147,0.8102955195424214,0.8717948717948718,0.26857142857142857,0.12144702842377261,0.7277913610431948,0.36628383921246926,0.5573525007487271,0.8413200723327305,0.165,0.171875,0.794392523364486,0.4860410359905819,0.6923076923076923,0.15789473684210525,0.8245614035087719,0.36153846153846153,0.9768969422423556,0.9979176307265155
tree + SMOTE,5,0.7653420262858326,0.63074096983751,0.5341956871507042,0.7845461788964716,0.5202366835833414,0.63074096983751,0.7164599204741845,0.7074250001952872,0.7732,0.6818411438334324,10.328322482999283,0.02075012500063167,0.7670250896057348,0.9785988659228095,0.786463298379409,0.8225324027916251,0.16666666666666666,0.13875598086124402,0.7758761206193969,0.35168082748429996,0.5187181790955376,0.8375241779497099,0.208955223880597,0.15730337078651685,0.794392523364486,0.4936795353604373,0.46153846153846156,0.07894736842105263,0.8508771929824561,0.34519572953736655,0.9768969422423556,0.9981485767183522
tree + SMOTE,6,0.7600517464424321,0.6661073266631601,0.5385559442030102,0.7797281759121414,0.523502964684803,0.6661073266631601,0.7101228461288802,0.7010926981833245,0.7744,0.6859384229136466,10.938280952000241,0.023543107000477903,0.7601433691756272,0.9760677466863034,0.7931363203050524,0.8156862745098039,0.21264367816091953,0.10220994475138122,0.7636511817440913,0.35252069224981186,0.510931416591794,0.8301703163017031,0.15920398009950248,0.22377622377622378,0.7789994502473887,0.4829584185412406,0.8461538461538461,0.14864864864864866,0.8584070796460177,0.305993690851735,0.9778029445073613,0.9969976905311778
tree + SMOTE,7,0.7735058214747736,0.6638917079695598,0.5520816422080478,0.7922920130491596,0.5371529692326898,0.6638917079695598,0.725556299205674,0.7169249610663381,0.7762,0.7083723181816608,11.083472574000552,0.02053391599929455,0.7826523297491039,0.9779648871372268,0.7588179218303146,0.8766519823788547,0.20114942528735633,0.15350877192982457,0.7864710676446618,0.3547794117647059,0.5286013776579814,0.8514230583695128,0.21890547263681592,0.18333333333333332,0.7965915338097856,0.5057591623036649,0.6923076923076923,0.13846153846153847,0.8938053097345132,0.3333333333333333,0.9796149490373726,0.9963142133149044
tree + SMOTE,8,0.7649159120310479,0.6749755153329404,0.5502358631369352,0.7850424158881729,0.5329564789394621,0.6749755153329404,0.7167527372232205,0.7073180083298418,0.7764,0.7134037080712159,12.108002791000217,0.025510931000098935,0.7607168458781361,0.9777040722314354,0.7931363203050524,0.8472505091649695,0.2914285714285714,0.22566371681415928,0.7921760391198044,0.3540983606557377,0.518418688230009,0.8485294117647059,0.18407960199004975,0.1189710610932476,0.8025302530253026,0.49863294600136704,0.7692307692307693,0.11764705882352941,0.8672566371681416,0.34385964912280703,0.9707814269535674,0.9972080037226617
tree + SMOTE,9,0.7668305304010349,0.6502130578872457,0.5370453444380667,0.7861807809641452,0.5243577407040462,0.6502130578872457,0.7181900948142067,0.7092902400857002,0.7789,0.7006967428987593,12.395705707999696,0.02005248300065432,0.7720430107526882,0.9769593613933236,0.7998093422306959,0.815354713313897,0.2857142857142857,0.12077294685990338,0.7626427406199021,0.35741590214067276,0.5083832335329341,0.8580090955027792,0.15422885572139303,0.20261437908496732,0.801980198019802,0.5010309278350515,0.6153846153846154,0.0963855421686747,0.8230088495575221,0.3184931506849315,0.9789354473386184,0.9965413880562601
tree + SMOTE,10,0.7632082794307892,0.618657999382221,0.5267376688106481,0.7827924449529858,0.5208676442678124,0.618657999382221,0.7136743364226135,0.7046339847319787,0.772,0.679548019346158,10.75307569100005,0.020645562000026985,0.7772043010752688,0.9748246718216148,0.7959961868446139,0.8106796116504854,0.29714285714285715,0.11353711790393013,0.7553017944535073,0.34487895716946,0.49640718562874253,0.8612987012987013,0.1044776119402985,0.21212121212121213,0.7843784378437844,0.4956551963851234,0.38461538461538464,0.10869565217391304,0.8141592920353983,0.2902208201892745,0.9768969422423556,0.9967645019644095
