alpha,max_depth,min_samples_leaf,criterion,ccp_alpha,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
0.625,13.0,5,entropy,1e-06,0.6327630729503795,0.019045961199873486,0.5491944846426249,0.016088379642682588,1.2470986615999664,0.017116111199948138
0.75,13.0,1,gini,1e-05,0.6184055029634267,0.010225168731452796,0.5491755244743923,0.009921465736771329,0.7610459654000806,0.018336798399832332
0.75,13.0,1,gini,1e-06,0.6183655159777115,0.01029777463969413,0.5491433136878032,0.00993588988001275,0.7957853445998808,0.017897811399961938
0.75,13.0,1,gini,0.0,0.6183655159777115,0.01029777463969413,0.5491433136878032,0.00993588988001275,0.8149566701998993,0.022115950799980057
0.875,18.0,2,entropy,1e-05,0.5911281512350847,0.020486458655430494,0.5489564755681435,0.020122449905966382,1.4310308776000966,0.018720022599973164
0.875,13.0,2,entropy,1e-05,0.6271842772419138,0.019570116837555024,0.5489247491741901,0.023012767370706302,1.3604909281999427,0.020165545599866164
0.875,13.0,2,entropy,0.0,0.6271508086773336,0.0195894657669568,0.5489030399081039,0.023080649678174615,1.3391620836001494,0.017661989000043832
0.875,18.0,2,entropy,0.0,0.5911028513013595,0.020567261057590012,0.5488948191763706,0.02011363582033049,1.3625005758000044,0.018534218600143502
0.875,13.0,2,entropy,1e-06,0.6271263587995831,0.019604390612034773,0.5488875156706057,0.023075074986161744,1.3698660460000611,0.021239622200209852
0.875,18.0,2,entropy,1e-06,0.5910629063454133,0.02057631882184936,0.548871418427563,0.02011657275798162,1.4439602074001414,0.018198047799887717
0.625,13.0,5,gini,1e-05,0.6324853923336274,0.019687566794165834,0.5486693583502681,0.016198962041925887,0.8725917381999352,0.01887429780003913
0.875,13.0,5,entropy,1e-05,0.6480457870804341,0.015603400378775818,0.5486517578031627,0.019490199586041722,1.2770432367999092,0.019332954000037716
0.875,13.0,5,entropy,1e-06,0.6480231339778052,0.015629851891658882,0.5486312732231265,0.019518193322149425,1.277527492399986,0.018417473800127482
0.875,13.0,5,entropy,0.0,0.6480231339778052,0.015629851891658882,0.5486312732231265,0.019518193322149425,1.214326400400023,0.017314109000108147
0.625,13.0,5,gini,0.0,0.6323875968570777,0.0195443876295406,0.5485893906958413,0.016112751774101194,0.7406566175999615,0.015369072799967399
0.625,13.0,5,gini,1e-06,0.6323875968570777,0.0195443876295406,0.5485893906958413,0.016112751774101194,0.7813056010000764,0.016885395399958723
0.75,18.0,5,gini,1e-05,0.6147316733808219,0.016296119110542295,0.5484153217056146,0.01686936903001474,0.8896035428001596,0.017364031000033718
0.75,18.0,5,gini,0.0,0.6146841795248782,0.016389145398870132,0.5484056185074973,0.016848736062605934,0.8426146953997886,0.016630778000035207
0.75,18.0,5,gini,1e-06,0.6146841795248782,0.016389145398870132,0.5484056185074973,0.016848736062605934,0.8815830366000228,0.018707902799815202
0.875,13.0,2,gini,1e-05,0.6298099869047264,0.025094486538610624,0.5481940126555683,0.016802031396913056,0.7821357799999532,0.018982901199979096
0.875,13.0,2,gini,0.0,0.6297199074295636,0.025125005747962347,0.5481282351887609,0.016912149462423788,0.7675982931998988,0.017976893200011546
0.875,13.0,2,gini,1e-06,0.6297199074295636,0.025125005747962347,0.5481282351887609,0.016912149462423788,0.7415243335998639,0.01964229819996035
0.75,18.0,1,entropy,1e-05,0.5660627793912514,0.009314616119307598,0.5472199878413255,0.015591015073710884,1.4610590272000992,0.016952354999921225
0.75,18.0,1,entropy,0.0,0.5660749320634513,0.009460222056009993,0.5471171442547854,0.015646656345215868,1.4199019055999087,0.015936807800153475
0.75,18.0,1,entropy,1e-06,0.5660749320634513,0.009460222056009993,0.5471171442547854,0.015646656345215868,1.4520633490001273,0.01617282939996585
0.875,13.0,5,gini,0.0,0.6399123335268442,0.026695993517803697,0.5466662650229729,0.016459986724742325,0.7878438905999247,0.0177972716000113
