configuration,fold,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,kappa,recall_Normal,recall_Reconnaissance,recall_Backdoor,recall_DoS,recall_Exploits,recall_Analysis,recall_Fuzzers,recall_Worms,recall_Shellcode,recall_Generic
tree,1,0.7796233053917003,0.6627338380070144,0.6010077333741599,0.7955242839395426,0.7302601945612073,0.7227656130665834,0.7965591397849462,0.7435653002859867,0.08571428571428572,0.799347471451876,0.5595808383233533,0.24875621890547264,0.7618261826182618,0.8461538461538461,0.8053097345132744,0.9805253623188406
tree,2,0.7836593190520542,0.6558989581248964,0.6019401076429196,0.7996625795726728,0.7345846870576943,0.727745001085135,0.8007168458781362,0.7740705433746425,0.08571428571428572,0.7911908646003263,0.5760479041916168,0.3034825870646766,0.7568756875687569,0.7692307692307693,0.7256637168141593,0.9759963768115942
tree,3,0.7752768291420884,0.6513928059716804,0.5921357300904653,0.791977105655773,0.7253130197342228,0.717724851789251,0.7875268817204301,0.7483317445185891,0.10857142857142857,0.8001631321370309,0.5582509733453129,0.27,0.7581088510170423,0.7692307692307693,0.7368421052631579,0.9769021739130435
tree,4,0.7842285004656939,0.6667184205875254,0.5907168980817852,0.8005654800559655,0.73512125055797,0.7284754662695032,0.7995698924731183,0.7664442326024785,0.09714285714285714,0.8003259983700082,0.5846061695118299,0.335,0.7410665200659703,0.8461538461538461,0.7192982456140351,0.9775764439411099
tree,5,0.7931284280244231,0.6144013728652786,0.5703697849565611,0.8057816233255904,0.7416477402004032,0.7368265811605951,0.861505376344086,0.7521448999046711,0.1206896551724138,0.8092909535452323,0.5714285714285714,0.23383084577114427,0.6371632765255635,0.46153846153846156,0.7192982456140351,0.977123442808607
tree,6,0.7760931435963777,0.6518737721368335,0.5824063344385749,0.7928348021683471,0.7264547855405311,0.7186862887002855,0.7855197132616487,0.7321258341277407,0.10344827586206896,0.8133659331703341,0.5663372267145852,0.2885572139303483,0.7564595931830677,0.7692307692307693,0.7256637168141593,0.9780294450736127
tree,7,0.7889262613195342,0.6659652583403552,0.5917253117609458,0.8025775719072691,0.7377737127137076,0.7324417678033962,0.8404301075268817,0.7426120114394662,0.09195402298850575,0.7929910350448248,0.568733153638814,0.30845771144278605,0.6745464540956569,0.8461538461538461,0.8141592920353983,0.9796149490373726
tree,8,0.790012936610608,0.6527438230814134,0.6032398359431864,0.8036374816148374,0.7391344742437836,0.7337100800226493,0.8422939068100358,0.7416587225929456,0.12571428571428572,0.8133659331703341,0.5738244983528002,0.263681592039801,0.6826182618261826,0.7692307692307693,0.7433628318584071,0.9716874292185731
tree,9,0.7789391979301423,0.6418222345559238,0.5783634521994436,0.794425387600182,0.7292837577924605,0.7219525273524204,0.7931182795698924,0.7340324118207817,0.09142857142857143,0.8091353996737357,0.5646706586826348,0.22388059701492538,0.7728272827282728,0.7692307692307693,0.6814159292035398,0.9784824462061155
tree,10,0.779974126778784,0.6525723617487122,0.5810028137928289,0.7944673774930956,0.7285102734658602,0.7218213400409466,0.8285304659498208,0.7435653002859867,0.08571428571428572,0.8246329526916802,0.5374251497005988,0.23880597014925373,0.687018701870187,0.9230769230769231,0.6814159292035398,0.9755379388448471
